Auction Title ,Auction ID,Department ,Close Date ,Winning Bid ,CC Fee,Fee Percent,Auction Fee Subtotal,Auction Fee Total,Pay Status ,Paid Date ,Asset #,Inventory ID,Decal /Vehicle ID,VTR Number,Receipt Number ,Cap,Expenses,Net Sales,Fund,Business Unit
Assorted Kitchen Ware,79924,SCHOOL BOARD WAREHOUSE,1/6/2014,$377.00 ,$0.00 ,0.23,$86.71 ,$86.71 ,Successful,1/13/2014,,SBS-6215C,,,Money Order,"$3,000 ",$0.00 ,$290.29 ,Enterprise,0
Kitchen Items,79925,SCHOOL BOARD WAREHOUSE,1/6/2014,$33.00 ,$0.76 ,0.23,$7.59 ,$7.59 ,Successful,1/22/2014,,SBS-6215D,,,3604564037,"$3,000 ",$0.00 ,$25.41 ,Enterprise,0
Kitchen Items,79926,SCHOOL BOARD WAREHOUSE,1/6/2014,$11.00 ,$0.25 ,0.23,$2.53 ,$2.53 ,Successful,1/22/2014,,SBS-6215E,,,3604564050,"$3,000 ",$0.00 ,$8.47 ,Enterprise,0
Kitchen Ware,79927,SCHOOL BOARD WAREHOUSE,1/6/2014,$57.00 ,$1.31 ,0.23,$13.11 ,$13.11 ,Successful,2/18/2014,,SBS-6215F,,,3606505460,"$3,000 ",$0.00 ,$43.89 ,Enterprise,0
Kitchen Ware,79928,SCHOOL BOARD WAREHOUSE,1/6/2014,$243.99 ,$5.61 ,0.23,$56.11 ,$56.11 ,Successful,1/10/2014,,SBS-6215G,,,3603708376,"$3,000 ",$0.00 ,$187.87 ,Enterprise,0
2 Storage Bins,79929,SCHOOL BOARD WAREHOUSE,1/6/2014,$111.99 ,$2.58 ,0.23,$25.75 ,$25.75 ,Successful,1/8/2014,,SBS-6211,,,3603497134,"$3,000 ",$0.00 ,$86.23 ,Enterprise,0
Table,79930,SCHOOL BOARD WAREHOUSE,1/6/2014,$111.00 ,$2.55 ,0.23,$25.53 ,$25.53 ,Successful,1/10/2014,,SBS-6207A,,,3603744565,"$3,000 ",$0.00 ,$85.47 ,Enterprise,0
Table,79931,SCHOOL BOARD WAREHOUSE,1/6/2014,$111.00 ,$2.55 ,0.23,$25.53 ,$25.53 ,Successful,1/10/2014,,SBS-6207B,,,3603744759,"$3,000 ",$0.00 ,$85.47 ,Enterprise,0
Pressure Washer,79932,SCHOOL BOARD WAREHOUSE,1/6/2014,$105.99 ,$2.44 ,0.23,$24.37 ,$24.37 ,Successful,1/8/2014,,SBS-6216,,,3603467837,"$3,000 ",$0.00 ,$81.61 ,Enterprise,0
Steamer,79933,SCHOOL BOARD WAREHOUSE,1/6/2014,$205.00 ,$4.72 ,0.23,$47.15 ,$47.15 ,Successful,2/18/2014,,SBS-6197,,,3606505480,"$3,000 ",$0.00 ,$157.85 ,Enterprise,0
Cash Register,79934,SCHOOL BOARD WAREHOUSE,1/6/2014,$5.01 ,$0.12 ,0.23,$1.15 ,$1.15 ,Successful,1/14/2014,,SBS-6201,,,3603986223,"$3,000 ",$0.00 ,$3.85 ,Enterprise,0
Cash Register,79935,SCHOOL BOARD WAREHOUSE,1/6/2014,$5.01 ,$0.12 ,0.23,$1.15 ,$1.15 ,Successful,1/14/2014,,SBS-6202,,,3603986234,"$3,000 ",$0.00 ,$3.85 ,Enterprise,0
Cash Register,79936,SCHOOL BOARD WAREHOUSE,1/6/2014,$5.01 ,$0.12 ,0.23,$1.15 ,$1.15 ,Successful,1/14/2014,,SBS-6203,,,3603986251,"$3,000 ",$0.00 ,$3.85 ,Enterprise,0
Cash Register,79937,SCHOOL BOARD WAREHOUSE,1/6/2014,$6.00 ,$0.14 ,0.23,$1.38 ,$1.38 ,Successful,1/14/2014,,SBS-6200,,,3603986272,"$3,000 ",$0.00 ,$4.62 ,Enterprise,0
Milk Cooler,79938,SCHOOL BOARD WAREHOUSE,1/6/2014,$53.10 ,$1.22 ,0.23,$12.21 ,$12.21 ,Successful,1/9/2014,,SBS-6198,,,3603568496,"$3,000 ",$0.00 ,$40.88 ,Enterprise,0
Table w/3-Drawers,79939,SCHOOL BOARD WAREHOUSE,1/6/2014,$363.00 ,$8.35 ,0.23,$83.49 ,$83.49 ,Successful,1/8/2014,,SBS-6208,,,3603497149,"$3,000 ",$0.00 ,$279.51 ,Enterprise,0
Desk,79940,SCHOOL BOARD WAREHOUSE,1/6/2014,$52.00 ,$1.20 ,0.23,$11.96 ,$11.96 ,Successful,1/9/2014,,SBS-6199,,,3603595300,"$3,000 ",$0.00 ,$40.04 ,Enterprise,0
2 Rolling Carts,79941,SCHOOL BOARD WAREHOUSE,1/6/2014,$75.01 ,$1.73 ,0.23,$17.25 ,$17.25 ,Successful,1/12/2014,,SBS-6191,,,3603817315,"$3,000 ",$0.00 ,$57.75 ,Enterprise,0
Sony VCR & DVD Players,79942,SCHOOL BOARD WAREHOUSE,1/6/2014,$52.00 ,$1.20 ,0.23,$11.96 ,$11.96 ,Successful,1/8/2014,,SBS-6188A,,,3603495658,"$3,000 ",$0.00 ,$40.04 ,Enterprise,0
DVD & VCR,79943,SCHOOL BOARD WAREHOUSE,1/6/2014,$29.01 ,$0.67 ,0.23,$6.67 ,$6.67 ,Successful,1/8/2014,,SBS-6188B,,,3603495677,"$3,000 ",$0.00 ,$22.33 ,Enterprise,0
Compact Refrigerator,79944,SCHOOL BOARD WAREHOUSE,1/6/2014,$8.00 ,$0.18 ,0.23,$1.84 ,$1.84 ,Successful,1/13/2014,,SBS-6193,,,3603943095,"$3,000 ",$0.00 ,$6.16 ,Enterprise,0
Cabinet,79945,NASHVILLE CONVENTION CTR,1/7/2014,$7.00 ,$0.16 ,0.23,$1.61 ,$1.61 ,Successful,1/8/2014,,NCC-75595,,,3603483230,"$3,000 ",$0.00 ,$5.39 ,Enterprise,0
FWC Warmer,79946,NASHVILLE CONVENTION CTR,1/7/2014,$41.99 ,$0.00 ,0.23,$9.65 ,$9.65 ,Successful,1/9/2014,,NCC-75671,,,Money Order,"$3,000 ",$0.00 ,$32.33 ,Enterprise,0
True Cooler,79947,NASHVILLE CONVENTION CTR,1/7/2014,$160.75 ,$3.70 ,0.23,$36.97 ,$36.97 ,Successful,1/8/2014,,NCC-75723,,,3603497374,"$3,000 ",$0.00 ,$123.77 ,Enterprise,0
Amana Commercial Microwave,79948,NASHVILLE CONVENTION CTR,1/7/2014,$27.00 ,$0.62 ,0.23,$6.21 ,$6.21 ,Successful,1/8/2014,,NCC-75727,,,3603497396,"$3,000 ",$0.00 ,$20.79 ,Enterprise,0
Eagle Stainless Steel Table,79949,NASHVILLE CONVENTION CTR,1/7/2014,$102.00 ,$2.35 ,0.23,$23.46 ,$23.46 ,Successful,1/8/2014,,NCC-75726,,,3603497413,"$3,000 ",$0.00 ,$78.54 ,Enterprise,0
Star Oven Toaster,79950,NASHVILLE CONVENTION CTR,1/7/2014,$317.00 ,$0.00 ,0.23,$72.91 ,$72.91 ,Successful,1/7/2014,,NCC-75725,,,Cashiers Check,"$3,000 ",$0.00 ,$244.09 ,Enterprise,0
Eagle Stainless Steel Table,79951,NASHVILLE CONVENTION CTR,1/7/2014,$233.00 ,$0.00 ,0.23,$53.59 ,$53.59 ,Successful,1/7/2014,,NCC-75722,,,Cashiers Check,"$3,000 ",$0.00 ,$179.41 ,Enterprise,0
Sico Folding Table w/Wheels,79952,NASHVILLE CONVENTION CTR,1/7/2014,$60.01 ,$1.38 ,0.23,$13.80 ,$13.80 ,Successful,1/7/2014,,NCC-75659,,,3603378757,"$3,000 ",$0.00 ,$46.20 ,Enterprise,0
Table w/Wheels,79953,NASHVILLE CONVENTION CTR,1/7/2014,$30.00 ,$0.69 ,0.23,$6.90 ,$6.90 ,Successful,2/18/2014,,NCC-75656,,,3606505498,"$3,000 ",$0.00 ,$23.10 ,Enterprise,0
Wire Rack,79954,NASHVILLE CONVENTION CTR,1/7/2014,$24.69 ,$0.57 ,0.23,$5.67 ,$5.67 ,Successful,1/13/2014,,NCC-75724,,,3603943217,"$3,000 ",$0.00 ,$19.01 ,Enterprise,0
Perlick Ice Holder,79955,NASHVILLE CONVENTION CTR,1/7/2014,$117.48 ,$0.00 ,0.23,$27.02 ,$27.02 ,Successful,1/7/2014,,NCC-75602,,,Cashiers Check,"$3,000 ",$0.00 ,$90.45 ,Enterprise,0
Picture,79956,NASHVILLE CONVENTION CTR,1/7/2014,$32.00 ,$0.74 ,0.23,$7.36 ,$7.36 ,Successful,1/8/2014,,NCC-75775,,,3603491140,"$3,000 ",$0.00 ,$24.64 ,Enterprise,0
15 Ceramic Bowls,79957,NASHVILLE CONVENTION CTR,1/7/2014,$108.00 ,$2.48 ,0.23,$24.84 ,$24.84 ,Successful,1/7/2014,,NCC-75649,,,3603388403,"$3,000 ",$0.00 ,$83.16 ,Enterprise,0
6 Heath Flow Measurement Rods,79958,WATER SERVICES,1/7/2014,$79.99 ,$1.84 ,0.23,$18.39 ,$18.39 ,Successful,1/7/2014,,WS-73877,,,3603381573,"$3,000 ",$0.00 ,$61.59 ,Enterprise,0
Casio Calculator,79964,FINANCE,1/8/2014,$7.00 ,$0.16 ,0.23,$1.61 ,$1.61 ,Successful,1/9/2014,,73635,,,3603574563,"$3,000 ",$0.00 ,$5.39 ,General Fund,0
Canon Calculator,79965,FINANCE,1/8/2014,$9.00 ,$0.21 ,0.23,$2.07 ,$2.07 ,Successful,1/8/2014,,73636,,,3603497432,"$3,000 ",$0.00 ,$6.93 ,General Fund,0
HP Laser Jet 4100dtn,79966,FINANCE,1/8/2014,$47.01 ,$1.08 ,0.23,$10.81 ,$10.81 ,Successful,1/8/2014,,73633,,,3603476380,"$3,000 ",$0.00 ,$36.19 ,General Fund,0
Panasonic Color High Speed Scanner,79967,FINANCE,1/8/2014,$248.01 ,$5.70 ,0.23,$57.04 ,$57.04 ,Successful,2/18/2014,,73637,,,3606505520,"$3,000 ",$0.00 ,$190.97 ,General Fund,0
Printer Stand,79968,METRO ACTION,1/8/2014,$6.00 ,$0.14 ,0.23,$1.38 ,$1.38 ,Successful,1/12/2014,,MA-63780,,,3603810674,"$3,000 ",$0.00 ,$4.62 ,Enterprise,0
Dell Power Edge 6850 Server,79969,CODES,1/8/2014,$38.99 ,$0.90 ,0.23,$8.96 ,$8.96 ,Successful,1/16/2014,,75576,,,3604199243,"$3,000 ",$0.00 ,$30.02 ,General Fund,0
CD Rack,79970,PUBLIC LIBRARY,1/8/2014,$21.00 ,$0.48 ,0.23,$4.83 ,$4.83 ,Successful,1/8/2014,,75562,,,3603473425,"$3,000 ",$0.00 ,$16.17 ,General Fund,0
Elmo 16-CL Optical Projector w/Cart,79971,PUBLIC LIBRARY,1/8/2014,$130.01 ,$2.99 ,0.23,$29.90 ,$29.90 ,Successful,1/8/2014,,75564,,,3603475436,"$3,000 ",$0.00 ,$100.10 ,General Fund,0
1 Box of Assorted Pen Lights,79972,PUBLIC LIBRARY,1/8/2014,$21.00 ,$0.48 ,0.23,$4.83 ,$4.83 ,Successful,2/4/2014,,75565,,,3605508505,"$3,000 ",$0.00 ,$16.17 ,General Fund,0
"Vacant Land - 433 Roger Williams Avenue, Nashville, TN 37207",79975,PUBLIC PROPERTY,1/16/2014,"$7,601.00 ",$0.00 ,0.03,$228.03 ,$228.03 ,Successful,2/21/2014,,RPS-14014,,,Cashiers Check,$0 ,$0.00 ,"$7,372.97 ",General Fund,0
2003 Ford F-450,79976,OFM-WATER SERVICES,1/2/2014,"$9,100.00 ",$0.00 ,0.23,"$2,093.00 ","$2,093.00 ",Successful,1/6/2014,80000567,,31C 041,,Cashiers Check,"$3,000 ",$0.00 ,"$7,007.00 ",Enterprise,0
2008 International Cab & Chassis,79978,OFM-FIRE,1/2/2014,"$2,125.00 ",$48.88 ,0.23,$488.75 ,$488.75 ,Successful,1/10/2014,80006639,,1479 JG,,3603718058,"$3,000 ",$0.00 ,"$1,636.25 ",Enterprise,0
2003 Ford F-450,79979,OFM-WATER SERVICES,1/2/2014,"$9,000.00 ",$0.00 ,0.23,"$2,070.00 ","$2,070.00 ",Successful,1/6/2014,80000565,,31C 039,,Cashiers Check,"$3,000 ",$0.00 ,"$6,930.00 ",Enterprise,0
Beverage Air Refrigerator w/Wheels,79987,NASHVILLE CONVENTION CTR,1/9/2014,$27.01 ,$0.00 ,0.23,$6.21 ,$6.21 ,Successful,1/16/2014,,NCC-75729,,,Cashiers Check,"$3,000 ",$0.00 ,$20.79 ,Enterprise,0
Hanging Rack,79988,NASHVILLE CONVENTION CTR,1/9/2014,$41.00 ,$0.94 ,0.23,$9.43 ,$9.43 ,Successful,1/15/2014,,NCC-75665,,,3604056042,"$3,000 ",$0.00 ,$31.57 ,Enterprise,0
Lockwood Coat Rack,79989,NASHVILLE CONVENTION CTR,1/9/2014,$53.60 ,$1.23 ,0.23,$12.32 ,$12.32 ,Successful,1/9/2014,,NCC-75594,,,3603574580,"$3,000 ",$0.00 ,$41.27 ,Enterprise,0
4 Chairs,79990,NASHVILLE CONVENTION CTR,1/9/2014,$21.00 ,$0.48 ,0.23,$4.83 ,$4.83 ,Successful,1/11/2014,,"NCC-75584, NCC-75585, NCC-75586, NCC-75588",,,3603788125,"$3,000 ",$0.00 ,$16.17 ,Enterprise,0
3 Chairs,79991,NASHVILLE CONVENTION CTR,1/9/2014,$12.06 ,$0.28 ,0.23,$2.77 ,$2.77 ,Successful,1/11/2014,,"NCC-75591, NCC-75592, NCC-75593",,,3603788913,"$3,000 ",$0.00 ,$9.28 ,Enterprise,0
Childrens Playset Items,79992,METRO ACTION,1/9/2014,$57.01 ,$1.31 ,0.23,$13.11 ,$13.11 ,Successful,1/10/2014,,"MAC-73972, MAC-73990, MAC-73991, MAC-74048, MAC-74092, MAC-74676, MAC-74684, MAC-74705",,,3603650687,"$3,000 ",$0.00 ,$43.89 ,Enterprise,0
5 2-Drawer File Cabinets,79993,METRO ACTION,1/9/2014,$11.00 ,$0.25 ,0.23,$2.53 ,$2.53 ,Successful,2/12/2014,,"MAC-74127, MAC-74128, MAC-74152, MAC-74153, MAC-74156",,,3606110314,"$3,000 ",$0.00 ,$8.47 ,Enterprise,0
Podium,79994,METRO ACTION,1/9/2014,$12.00 ,$0.28 ,0.23,$2.76 ,$2.76 ,Successful,1/13/2014,,MAC-74074,,,3603891882,"$3,000 ",$0.00 ,$9.24 ,Enterprise,0
3 Cambro Food Carts,79995,METRO ACTION,1/9/2014,$308.00 ,$7.08 ,0.23,$70.84 ,$70.84 ,Successful,1/10/2014,,MAC-74033,,,3603722863,"$3,000 ",$0.00 ,$237.16 ,Enterprise,0
Kid Size U-Shaped Table,79996,METRO ACTION,1/9/2014,$22.01 ,$0.51 ,0.23,$5.06 ,$5.06 ,Successful,1/14/2014,,MAC-74158,,,3603974335,"$3,000 ",$0.00 ,$16.94 ,Enterprise,0
11 Rugs,79997,METRO ACTION,1/9/2014,$915.00 ,$0.00 ,0.23,$210.45 ,$210.45 ,Successful,1/14/2014,,MAC-74142,,,Cashiers Check,"$3,000 ",$0.00 ,$704.55 ,Enterprise,0
Care Play Art Easel,79998,METRO ACTION,1/9/2014,$9.50 ,$0.22 ,0.23,$2.18 ,$2.18 ,Successful,1/12/2014,,MAC-74076A,,,3603839966,"$3,000 ",$0.00 ,$7.31 ,Enterprise,0
Counter w/Sink,79999,METRO ACTION,1/9/2014,$6.00 ,$0.14 ,0.23,$1.38 ,$1.38 ,Successful,1/11/2014,,MAC-73971,,,3603773024,"$3,000 ",$0.00 ,$4.62 ,Enterprise,0
Pro Cart II Mobile Treatment Console,80000,METRO ACTION,1/9/2014,$156.99 ,$3.61 ,0.23,$36.10 ,$36.10 ,Successful,1/9/2014,,MAC-74075,,,3603586986,"$3,000 ",$0.00 ,$120.88 ,Enterprise,0
Wooden Shelf,80001,METRO ACTION,1/9/2014,$14.00 ,$0.32 ,0.23,$3.22 ,$3.22 ,Successful,1/9/2014,,MAC-72580,,,3603583018,"$3,000 ",$0.00 ,$10.78 ,Enterprise,0
Kid Size CPU Desk,80002,METRO ACTION,1/9/2014,$17.00 ,$0.39 ,0.23,$3.91 ,$3.91 ,Successful,2/5/2014,,MAC-74068,,,3605571334,"$3,000 ",$0.00 ,$13.09 ,Enterprise,0
10 Chairs,80004,METRO ACTION,1/9/2014,$13.00 ,$0.30 ,0.23,$2.99 ,$2.99 ,Successful,1/14/2014,,"MAC-73087, MAC-73656, MAC-73675, MAC-73705, MAC-74093, MAC-74094, MAC-74095, MAC-74097, MAC-74099, MAC-74699",,,3603974942,"$3,000 ",$0.00 ,$10.01 ,Enterprise,0
2 Chairs,80005,METRO ACTION,1/9/2014,$3.00 ,$0.07 ,0.23,$0.69 ,$0.69 ,Successful,2/4/2014,,"MAC-74103, MAC-74157",,,3605507970,"$3,000 ",$0.00 ,$2.31 ,Enterprise,0
HP Color Laser Jet 4600 Printer,80006,METRO ACTION,1/9/2014,$153.00 ,$3.52 ,0.23,$35.19 ,$35.19 ,Successful,1/12/2014,,MAC-73982,,,3603827151,"$3,000 ",$0.00 ,$117.81 ,Enterprise,0
Chair,80007,METRO ACTION,1/9/2014,$3.00 ,$0.07 ,0.23,$0.69 ,$0.69 ,Successful,2/4/2014,,MAC-74100,,,3605508172,"$3,000 ",$0.00 ,$2.31 ,Enterprise,0
Lateral File Cabinet,80008,GENERAL SERVICES,1/9/2014,$81.00 ,$1.86 ,0.23,$18.63 ,$18.63 ,Successful,1/9/2014,,70585,,,3603585660,"$3,000 ",$0.00 ,$62.37 ,General Fund,0
"3 Sony 18"" Flat Screen Monitors",80009,MDHA,1/9/2014,$25.00 ,$0.58 ,0.23,$5.75 ,$5.75 ,Successful,1/15/2014,,"MDHA-60345, MDHA-60346, MDHA-60347",,,3604084422,"$3,000 ",$0.00 ,$19.25 ,Enterprise,0
9 Monitor Stands,80010,ECD COMMUNICATIONS,1/9/2014,$17.00 ,$0.39 ,0.23,$3.91 ,$3.91 ,Successful,1/9/2014,,"ECD-61275, ECD-61276, ECD-61277, ECD-61278, ECD-61279, ECD-61280, ECD-61281, ECD-61282, ECD-61283",,,3603602823,"$3,000 ",$0.00 ,$13.09 ,Enterprise,0
"15 Dell 17"" Flat Screen Monitors",80011,ECD COMMUNICATIONS,1/9/2014,$148.50 ,$3.42 ,0.23,$34.15 ,$34.15 ,Successful,1/9/2014,,"ECD-61258, ECD-61259, ECD-61260, ECD-61261, ECD-61262, ECD-61263, ECD-61264, ECD-61265, ECD-61266, ECD-61267, ECD-61268, ECD-61269, ECD-61270, ECD-61271, ECD-61272",,,3603602837,"$3,000 ",$0.00 ,$114.34 ,Enterprise,0
11 Dell Computers,80012,ITS,1/9/2014,$371.51 ,$0.00 ,0.23,$85.44 ,$85.44 ,Successful,1/9/2014,,"75241, 75240, 75238, 75243, 75182, 75183, 75181, 75184, 75242, 75236, 75185",,,Cashiers Check,"$3,000 ",$0.00 ,$286.06 ,General Fund,0
46 Assorted Dell Computers,80013,ITS,1/9/2014,$935.00 ,$21.50 ,0.23,$215.05 ,$215.05 ,Successful,2/20/2014,,"75228, 75193, 75209, 75223, 75215, 75225, 75198, 75201, 75208, 75207, 75229, 75196, 75267, 75222, 75266, 75203, 75264, 75255, 75271, 75205, 75262, 75258, 75189, 75270, 75224, 75257, 75218, 75190, 75211, 75259, 75272, 75202, 75206, 75216, 75269, 75265, 751",,,3606708722,"$3,000 ",$0.00 ,$719.95 ,General Fund,0
Dell Laptop,80014,ITS,1/9/2014,$76.51 ,$1.76 ,0.23,$17.59 ,$17.59 ,Successful,1/9/2014,,74550,,,3603602849,"$3,000 ",$0.00 ,$58.91 ,General Fund,0
Dell Laptop,80015,ITS,1/9/2014,$27.00 ,$0.62 ,0.23,$6.21 ,$6.21 ,Successful,1/9/2014,,74553,,,3603602863,"$3,000 ",$0.00 ,$20.79 ,General Fund,0
Dell Laptop,80016,ITS,1/9/2014,$43.00 ,$0.99 ,0.23,$9.89 ,$9.89 ,Successful,2/4/2014,,74559,,,3605508697,"$3,000 ",$0.00 ,$33.11 ,General Fund,0
Dell Laptop,80017,ITS,1/9/2014,$52.00 ,$1.20 ,0.23,$11.96 ,$11.96 ,Successful,1/13/2014,,74555,,,3603934086,"$3,000 ",$0.00 ,$40.04 ,General Fund,0
